ballotID,1,2,3,Gender,Age ,Education,weight
207965XXXX,1,4,6,1,54,3,1.336749921
207497XXXX,3,2,6,2,79,3,0.894520907
207778XXXX,3,2,6,2,65,1,0.808040376
207848XXXX,3,4,6,2,60,2,0.900005082
207285XXXX,3,5,6,2,82,3,0.894520907
207584XXXX,4,3,6,2,56,1,0.900005082
207277XXXX,5,1,6,2,86,1,0.894520907
207989XXXX,5,3,6,2,63,1,0.900005082
207628XXXX,1,3,6,1,78,2,0.582630106
207348XXXX,2,1,6,1,57,2,1.319873973
207454XXXX,2,5,6,1,73,2,0.948418547
207483XXXX,3,1,6,1,62,2,1.319873973
207848XXXX,3,5,6,1,77,3,0.582630106
