ballotID,rank1,rank2,rank3,rank4,Gender,Age,Urbanicity,weight
327100XXXX,5,3,4,2,1,2,3,1.31080641
329100XXXX,5,6,,,2,1,3,0.937109936
335100XXXX,1,4,3,2,2,1,2,1.67508401
343100XXXX,1,3,4,2,2,1,3,0.760737848
344100XXXX,5,4,6,,1,1,3,1.444664692
346100XXXX,1,6,,,2,1,3,0.780910713
350100XXXX,5,6,,,2,2,3,0.362740125
351100XXXX,1,6,,,1,1,2,1.237034968
354100XXXX,5,6,,,2,2,3,2.229634155
355100XXXX,1,4,2,3,2,1,2,0.937109936
359100XXXX,5,2,4,3,1,1,2,0.585326548
365100XXXX,5,6,,,2,2,1,0.488437918
367100XXXX,5,6,,,2,1,3,1.164721108
368100XXXX,1,6,,,1,2,3,2.775465218
370100XXXX,5,6,,,2,1,3,1.330612828
372100XXXX,1,6,,,2,2,3,0.535706802
374100XXXX,1,6,,,2,1,2,1.246490912
375100XXXX,1,6,,,2,1,3,0.937109936
379100XXXX,5,6,,,1,2,3,0.975928414
382100XXXX,1,6,,,1,2,2,0.479610184
387100XXXX,5,6,,,2,1,3,0.780910713
388100XXXX,5,6,,,2,1,3,1.336861503
391100XXXX,5,6,,,1,2,1,2.775465218
390100XXXX,5,1,4,3,1,1,1,0.911548544
392100XXXX,4,1,6,,2,1,3,0.747894547
394100XXXX,5,6,,,1,1,3,0.585326548
398100XXXX,2,5,3,4,2,1,2,0.658539292
402100XXXX,5,3,2,4,2,1,3,1.246490912
407100XXXX,1,6,,,2,2,1,0.873082779
408100XXXX,1,6,,,2,2,3,0.488437918
409100XXXX,1,6,,,2,2,2,1.247347779
410100XXXX,3,1,4,2,1,1,3,1.14408453
411100XXXX,1,3,4,2,2,2,2,0.957575909
414100XXXX,5,4,6,,1,2,3,0.383476545
417100XXXX,5,6,,,2,1,3,0.658539292
418100XXXX,5,6,,,1,2,3,1.120166121
436100XXXX,6,,,,2,1,1,0.747894547
438100XXXX,1,4,3,2,1,2,3,0.440152605
439100XXXX,1,6,,,1,1,3,1.046271204
441100XXXX,5,6,,,1,1,2,0.442303146
446100XXXX,5,6,,,1,1,1,1.228913876
447100XXXX,6,,,,2,1,3,1.177138985
448100XXXX,1,6,,,2,1,3,1.246490912
449100XXXX,5,6,,,2,1,2,0.780910713
450100XXXX,1,3,2,4,2,1,2,0.658539292
451100XXXX,3,6,,,1,2,3,1.120166121
452100XXXX,5,6,,,2,1,3,1.45939254
453100XXXX,5,6,,,1,1,3,0.789114218
454100XXXX,5,6,,,2,1,2,0.747894547
463100XXXX,1,6,,,2,1,3,1.561849893
464100XXXX,5,6,,,2,2,3,2.229634155
473100XXXX,1,6,,,2,1,3,0.747894547
474100XXXX,5,6,,,2,2,3,0.814063197
475100XXXX,5,6,,,2,2,3,0.873082779
478100XXXX,5,6,,,2,2,3,0.490177886
484100XXXX,1,6,,,2,1,3,1.267896414
488100XXXX,1,4,2,3,2,1,3,0.937109936
493100XXXX,6,,,,2,2,3,0.562623911
495100XXXX,3,6,,,1,1,2,1.237034968
496100XXXX,1,4,3,6,1,2,2,1.211686063
503100XXXX,5,6,,,1,2,3,4.322324499
505100XXXX,1,6,,,2,2,3,0.388206469
512100XXXX,1,6,,,1,1,3,0.789114218
513100XXXX,1,4,3,2,2,2,3,0.814063197
514100XXXX,5,4,1,6,1,2,3,4.322324499
516100XXXX,1,6,,,1,1,3,0.688813433
519100XXXX,6,,,,2,1,2,1.330612828
