ballotID,1,2,3,4,Gender,Age,Urbanicity,weight
424100XXXX,c5,c6,,,1,1,1,0.911548544
482100XXXX,c5,c6,,,2,1,3,1.025565191
426100XXXX,c5,c1,c2,c3,1,1,1,1.14408453
427100XXXX,c5,c6,,,1,1,1,1.444664692
428100XXXX,c1,c6,,,1,1,1,1.444664692
430100XXXX,c1,c5,c6,,1,1,2,1.410541665
429100XXXX,c6,,,,1,1,3,1.444664692
433100XXXX,c1,c4,c3,c2,2,2,2,0.814063197
434100XXXX,c5,c6,,,2,2,2,0.760660651
437100XXXX,c1,c6,,,2,2,3,2.078912965
440100XXXX,c1,c6,,,1,1,1,0.442303146
442100XXXX,c4,c6,,,2,1,3,1.359818904
443100XXXX,c5,c2,c6,,2,2,3,1.365038349
445100XXXX,c1,c2,c3,c4,1,1,1,0.789114218
455100XXXX,c1,c3,c4,c2,2,1,2,1.267896414
456100XXXX,c5,c6,,,2,2,3,0.760660651
458100XXXX,c1,c4,c6,,2,1,3,0.747894547
459100XXXX,c5,c3,c4,c6,2,1,1,0.780910713
460100XXXX,c5,c1,c6,,1,2,2,0.975928414
465100XXXX,c5,c6,,,2,1,3,1.330612828
466100XXXX,c1,c6,,,2,1,3,1.359818904
467100XXXX,c5,c4,c6,,2,2,3,0.83427406
472100XXXX,c1,c6,,,2,1,3,1.267896414
479100XXXX,c5,c6,,,1,1,2,1.444664692
480100XXXX,c5,c6,,,2,1,1,0.658539292
483100XXXX,c5,c4,c6,,1,1,3,1.926475791
485100XXXX,c5,c6,,,1,2,2,1.299533302
486100XXXX,c6,,,,2,2,3,0.873082779
487100XXXX,c1,c6,,,1,1,2,0.975544247
489100XXXX,c1,c6,,,1,2,2,4.961144077
492100XXXX,c1,c4,c3,c2,2,1,1,0.937109936
494100XXXX,c5,c2,c4,c1,1,1,2,0.789114218
499100XXXX,c1,c4,c3,c2,2,1,1,0.658539292
502100XXXX,c1,c6,,,2,2,3,0.524591059
506100XXXX,c5,c6,,,2,1,3,1.184722409
509100XXXX,c1,c4,c3,c2,1,1,2,1.237034968
515100XXXX,c5,c6,,,2,1,1,1.216138283
517100XXXX,c1,c3,c6,,1,1,2,1.444664692
518100XXXX,c5,c2,c3,c1,1,1,1,1.14408453
523100XXXX,c1,c5,c3,c2,1,1,3,1.224405533
526100XXXX,c1,c6,,,2,2,2,0.416351438
528100XXXX,c5,c4,c6,,2,1,3,0.854417484
533100XXXX,c1,c3,c2,c4,2,1,3,1.164721108
534100XXXX,c1,c6,,,1,1,2,0.73464332
537100XXXX,c5,c6,,,2,1,1,0.760737848
538100XXXX,c5,c1,c3,c2,2,1,1,1.216138283
541100XXXX,c1,c6,,,2,1,3,1.177138985
543100XXXX,c1,c3,c4,c2,2,1,2,1.097565487
545100XXXX,c1,c6,,,1,1,2,0.73717191
548100XXXX,c5,c6,,,2,1,3,1.45939254
549100XXXX,c5,c6,,,1,1,3,2.24982448
552100XXXX,c1,c4,c2,c3,1,1,1,0.73717191
555100XXXX,c1,c6,,,2,1,2,0.747894547
557100XXXX,c1,c6,,,1,1,3,0.73717191
560100XXXX,c1,c4,c2,c3,1,1,2,1.315190363
562100XXXX,c1,c6,,,2,2,3,0.814063197
569100XXXX,c1,c3,c4,c2,1,1,3,0.975544247
580100XXXX,c1,c4,c2,c3,2,1,2,1.301517855
581100XXXX,c5,c6,,,1,1,3,0.911548544
584100XXXX,c1,c6,,,2,1,1,0.658539292
586100XXXX,c6,,,,1,1,1,0.789114218
587100XXXX,c5,c6,,,2,2,2,1.464003629
593100XXXX,c1,c6,,,1,1,1,2.061724947
595100XXXX,c1,c6,,,2,2,1,0.89284467
603100XXXX,c5,c3,c4,c1,2,1,2,0.747894547
604100XXXX,c1,c6,,,1,1,3,1.926475791
608100XXXX,c1,c6,,,1,1,2,0.585326548
613100XXXX,c1,c5,c3,c2,2,1,2,1.301517855
617100XXXX,c5,c6,,,2,2,3,0.535706802
620100XXXX,c5,c6,,,2,2,1,0.83427406
625100XXXX,c4,c1,c5,c2,1,1,2,0.688813433
630100XXXX,c1,c6,,,1,2,2,1.132199457
632100XXXX,c1,c6,,,1,1,2,0.442303146
634100XXXX,c1,c5,c2,c4,2,1,2,0.658539292
635100XXXX,c6,,,,2,2,3,2.229634155
640100XXXX,c1,c4,c3,c2,2,1,3,0.780910713
641100XXXX,c5,c6,,,2,2,3,0.760660651
643100XXXX,c1,c6,,,2,1,2,0.658539292
646100XXXX,c5,c6,,,2,2,3,0.760660651
